"SHREWSBURY LANSDOWNE I-44","BRENTWOOD METROLINK STATION",21,12:18:00,12:18:00
"SHREWSBURY LANSDOWNE I-44","BRENTWOOD METROLINK STATION",21,08:16:00,08:16:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,14:04:00,14:04:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,14:46:00,14:46:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,18:25:00,18:25:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,13:45:00,13:45:00
"SHREWSBURY LANSDOWNE I-44","BRENTWOOD METROLINK STATION",21,10:58:00,10:58:00
"SHREWSBURY LANSDOWNE I-44","BRENTWOOD METROLINK STATION",21,14:58:00,14:58:00
"SHREWSBURY LANSDOWNE I-44","BRENTWOOD METROLINK STATION",21,15:18:00,15:18:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,24:01:00,24:01:00
"CIVIC CENTER","BRENTWOOD METROLINK STATION",4,24:51:00,24:51:00
"CIVIC CENTER","BRENTWOOD METROLINK STATION",4,24:21:00,24:21:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,05:45:00,05:45:00
"SHREWSBURY LANSDOWNE I-44","BRENTWOOD METROLINK STATION",21,16:16:00,16:16:00
"SHREWSBURY LANSDOWNE I-44","BRENTWOOD METROLINK STATION",19,16:04:00,16:04:00
"SHREWSBURY LANSDOWNE I-44","BRENTWOOD METROLINK STATION",19,16:40:00,16:40:00
"SHREWSBURY LANSDOWNE I-44","BRENTWOOD METROLINK STATION",21,16:28:00,16:28:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,12:25:00,12:25:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,12:45:00,12:45:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,11:45:00,11:45:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,12:05:00,12:05:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,11:05:00,11:05:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,11:25:00,11:25:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,10:25:00,10:25:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,10:45:00,10:45:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,13:05:00,13:05:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,13:25:00,13:25:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,19:45:00,19:45:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,07:45:00,07:45:00
"SHREWSBURY LANSDOWNE I-44","BRENTWOOD METROLINK STATION",21,21:38:00,21:38:00
"SHREWSBURY LANSDOWNE I-44","BRENTWOOD METROLINK STATION",21,12:18:00,12:18:00
"SHREWSBURY LANSDOWNE I-44","BRENTWOOD METROLINK STATION",21,12:38:00,12:38:00
"SHREWSBURY LANSDOWNE I-44","BRENTWOOD METROLINK STATION",21,24:34:00,24:34:00
"CIVIC CENTER","BRENTWOOD METROLINK STATION",4,24:21:00,24:21:00
"FAIRVIEW HEIGHTS","BRENTWOOD METROLINK STATION",4,16:33:00,16:33:00
