"LAMBERT AIRPORT TERMINAL #1","EAST RIVERFRONT METROLINK STATION",FFFF00,2,4,04:16:00,04:16:00
"LAMBERT AIRPORT TERMINAL #1","EAST RIVERFRONT METROLINK STATION",FFFF00,2,4,04:19:00,04:19:00
"SHREWSBURY LANSDOWNE I-44","EAST RIVERFRONT METROLINK STATION",FFFF00,2,4,04:32:00,04:32:00
"LAMBERT AIRPORT TERMINAL #1","EAST RIVERFRONT METROLINK STATION",FFFF00,2,4,04:37:00,04:37:00
"LAMBERT AIRPORT TERMINAL #1","EAST RIVERFRONT METROLINK STATION",FFFF00,2,4,04:44:00,04:44:00
"SHREWSBURY LANSDOWNE I-44","EAST RIVERFRONT METROLINK STATION",FFFF00,2,4,04:45:00,04:45:00
"SHILOH SCOTT","EAST RIVERFRONT METROLINK STATION",FFFF00,2,7,04:46:00,04:46:00
"LAMBERT AIRPORT TERMINAL #1","EAST RIVERFRONT METROLINK STATION",FFFF00,2,11,04:50:00,04:50:00
"SHILOH SCOTT","EAST RIVERFRONT METROLINK STATION",FFFF00,2,7,04:54:00,04:54:00
"SHREWSBURY LANSDOWNE I-44","EAST RIVERFRONT METROLINK STATION",FFFF00,2,4,04:58:00,04:58:00
"SHILOH SCOTT","EAST RIVERFRONT METROLINK STATION",FFFF00,2,18,04:59:00,04:59:00
"SHREWSBURY LANSDOWNE I-44","EAST RIVERFRONT METROLINK STATION",FFFF00,2,4,05:00:00,05:00:00
"LAMBERT AIRPORT TERMINAL #1","EAST RIVERFRONT METROLINK STATION",FFFF00,2,4,05:04:00,05:04:00
"FAIRVIEW HEIGHTS","EAST RIVERFRONT METROLINK STATION",FFFF00,2,19,05:09:00,05:09:00
"LAMBERT AIRPORT TERMINAL #1","EAST RIVERFRONT METROLINK STATION",FFFF00,2,11,05:10:00,05:10:00
"SHREWSBURY LANSDOWNE I-44","EAST RIVERFRONT METROLINK STATION",FFFF00,2,4,05:18:00,05:18:00
"SHILOH SCOTT","EAST RIVERFRONT METROLINK STATION",FFFF00,2,18,05:19:00,05:19:00
"SHREWSBURY LANSDOWNE I-44","EAST RIVERFRONT METROLINK STATION",FFFF00,2,6,05:20:00,05:20:00
"LAMBERT AIRPORT TERMINAL #1","EAST RIVERFRONT METROLINK STATION",FFFF00,2,4,05:24:00,05:24:00
"FAIRVIEW HEIGHTS","EAST RIVERFRONT METROLINK STATION",FFFF00,2,19,05:29:00,05:29:00
"LAMBERT AIRPORT TERMINAL #1","EAST RIVERFRONT METROLINK STATION",FFFF00,2,11,05:29:00,05:29:00
