block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_841,11035,0,DOWNTOWN TROLLEY,79467,3_merged_1790291,1763642
b_842,11035,0,DOWNTOWN TROLLEY,79467,3_merged_1790291,1763643
b_841,11035,0,DOWNTOWN TROLLEY,79467,3_merged_1790291,1763640
b_842,11035,0,DOWNTOWN TROLLEY,79467,3_merged_1790291,1763641
b_841,11035,1,DOWNTOWN TROLLEY,79468,3_merged_1790291,1763646
b_842,11035,1,DOWNTOWN TROLLEY,79468,3_merged_1790291,1763647
b_841,11035,1,DOWNTOWN TROLLEY,79468,3_merged_1790291,1763644
b_842,11035,1,DOWNTOWN TROLLEY,79468,3_merged_1790291,1763645
b_841,11035,1,DOWNTOWN TROLLEY,79468,3_merged_1790291,1763648
b_842,11035,1,DOWNTOWN TROLLEY,79468,3_merged_1790291,1763649
b_355,11009,0,TO 14TH & SPRUCE,79328,1_merged_1790290,1759269
b_356,11009,0,TO 14TH & SPRUCE,79328,1_merged_1790290,1759268
b_353,11009,0,TO 14TH & SPRUCE,79328,1_merged_1790290,1759261
b_352,11009,0,TO 14TH & SPRUCE,79328,1_merged_1790290,1759260
b_351,11009,0,TO 14TH & SPRUCE,79328,1_merged_1790290,1759263
b_354,11009,0,TO 14TH & SPRUCE,79328,1_merged_1790290,1759262
b_353,11009,0,TO 14TH & SPRUCE,79328,1_merged_1790290,1759265
b_355,11009,0,TO 14TH & SPRUCE,79328,1_merged_1790290,1759264
b_355,11009,0,TO 14TH & SPRUCE,79328,1_merged_1790290,1759267
b_356,11009,0,TO 14TH & SPRUCE,79328,1_merged_1790290,1759266
a_161,11209,1,WASHINGTON PARK - TO EMERSON PARK,80253,3_merged_1790288,1788078
a_162,11209,1,WASHINGTON PARK - TO EMERSON PARK,80253,3_merged_1790288,1788079
a_161,11209,1,WASHINGTON PARK - TO EMERSON PARK,80253,3_merged_1790288,1788076
a_162,11209,1,WASHINGTON PARK - TO EMERSON PARK,80253,3_merged_1790288,1788077
a_161,11209,1,WASHINGTON PARK - TO EMERSON PARK,80253,3_merged_1790288,1788074
a_162,11209,1,WASHINGTON PARK - TO EMERSON PARK,80253,3_merged_1790288,1788075
a_161,11209,1,WASHINGTON PARK - TO EMERSON PARK,80253,3_merged_1790288,1788072
a_162,11209,1,WASHINGTON PARK - TO EMERSON PARK,80253,3_merged_1790288,1788073
a_163,11209,0,WASHINGTON PARK - TO 62ND & FOREST,80252,3_merged_1790288,1788070
a_162,11209,1,WASHINGTON PARK - TO EMERSON PARK,80253,3_merged_1790288,1788071
a_55,11159,0,TO 14TH & SPRUCE,80013,1_merged_1790287,1779766
a_53,11159,0,TO 14TH & SPRUCE,80013,1_merged_1790287,1779767
a_51,11159,0,TO 14TH & SPRUCE,80013,1_merged_1790287,1779764
a_54,11159,0,TO 14TH & SPRUCE,80013,1_merged_1790287,1779765
a_44,11158,1,FOREST PARK TROLLEY TO METROLINK,80012,3_merged_1790288,1779762
